"geneNames","logpPred","t0LUADoverLUSC","mStop","deviance","aic"
"PPIA",-4.62,0.874,129,826,1550
"RBM11",-4.62,0.75,151,783,1570
"SKA2",-4.62,0.871,154,807,1590
"CCM2",-4.62,1.17,134,795,1530
"ZNF765",-4.61,0.891,119,773,1460
"ZMYM4",-4.61,1.1,156,846,1630
"FAM49B",-4.61,0.871,141,869,1620
"PPYR1",-4.61,1.95,154,771,1570
"NCRNA00174",-4.61,0.779,131,790,1520
"SASH3",-4.61,1.29,140,999,1730
"COX6B1",-4.61,0.801,139,1210,1930
"KLHDC3",-4.61,0.873,136,941,1670
"C15orf39",-4.6,0.893,134,789,1520
"AP1G2",-4.6,1.19,132,798,1530
"DCTN4",-4.6,1.1,152,872,1660
"CHMP2B",-4.6,1.28,101,1970,2530
"EFHB",-4.59,2.01,137,910,1640
"C1orf9",-4.59,1.14,140,920,1660
"LUZP2",-4.59,0.61,139,886,1630
"NPTX1",-4.59,4.42,130,1540,2220
"LOC143188",-4.59,0.866,150,788,1570
"BOLA2",-4.59,0.842,129,854,1570
"TBC1D3H",-4.59,1.36,143,898,1650
"SNRPC",-4.58,0.879,111,785,1440
"ADAMTS1",-4.58,0.686,143,834,1590
"SUZ12",-4.58,0.885,141,837,1590
"BST2",-4.57,1.27,161,913,1710
"KIAA0748",-4.57,1.36,135,1030,1750
"MAMLD1",-4.57,1.38,139,764,1520
"TCTEX1D1",-4.57,1.69,138,808,1560
"ENKUR",-4.57,1.88,143,856,1610
"FASTKD1",-4.57,0.884,140,798,1560
"DDX59",-4.57,0.901,146,796,1570
"ELP2",-4.57,0.83,139,1540,2240
"WAS",-4.57,1.26,143,993,1740
"ACE",-4.57,1.36,135,937,1670
"FIG4",-4.56,1.14,140,823,1580
"ATF6",-4.56,1.11,139,1070,1810
"DDX20",-4.56,0.919,147,818,1600
"TIMM17A",-4.56,1.11,158,834,1640
"ZNF219",-4.56,0.832,140,772,1540
"SPATA20",-4.56,1.18,133,899,1630
"ALKBH8",-4.56,1.12,154,767,1570
"ZBTB22",-4.56,1.1,149,813,1600
"TEX9",-4.56,1.37,142,762,1530
"FAM27A",-4.56,1.33,148,760,1540
"SPTLC1",-4.56,0.917,131,810,1550
"BAZ1B",-4.56,0.897,156,822,1620
"ARMC7",-4.56,1.12,143,773,1540
"PGBD1",-4.55,0.812,135,933,1670
"GOSR1",-4.55,1.08,152,810,1600
"LRRC25",-4.55,1.25,153,774,1570
"ALX3",-4.55,0.687,136,805,1550
"CPXM2",-4.55,0.58,144,1220,1960
"ZFHX4",-4.55,0.503,128,1370,2060
"CDCA7",-4.55,0.747,127,1020,1720
"ESPN",-4.55,0.731,129,774,1500
"KCNMB2",-4.55,0.597,129,1110,1810
"DENND3",-4.55,1.36,140,962,1700
"ALS2CR8",-4.55,1.15,155,787,1580
"CHST10",-4.55,0.786,161,728,1550
"WDR27",-4.55,0.818,128,830,1550
"MSR1",-4.54,1.47,140,846,1600
"CHI3L1",-4.54,1.86,159,735,1560
"C5orf55",-4.54,0.798,156,776,1580
"VENTX",-4.54,1.47,129,1210,1900
"LOC81691",-4.54,0.794,142,815,1570
"PAXIP1",-4.53,0.883,133,817,1550
"FIZ1",-4.53,0.853,142,877,1640
"SCAF1",-4.53,0.9,139,809,1570
"TSPAN32",-4.53,1.42,164,865,1680
"SEMA3C",-4.53,0.766,152,805,1600
"HIST1H2BN",-4.53,1.31,161,859,1670
"NCRNA00182",-4.53,1.18,148,792,1570
"GADD45GIP1",-4.53,0.85,140,828,1580
"ACSL4",-4.53,1.24,136,904,1640
"IKBKG",-4.53,0.889,156,784,1580
"PARG",-4.53,0.915,134,819,1550
"NAP1L1",-4.52,0.901,151,851,1640
"IRF2BP2",-4.52,1.1,134,872,1610
"NALCN",-4.52,1.47,126,1080,1770
"UTP11L",-4.52,0.874,145,778,1550
"POFUT2",-4.52,1.13,139,803,1560
"MMP13",-4.51,0.351,144,861,1630
"PARK7",-4.51,1.11,139,815,1570
"EMID1",-4.51,0.692,144,1110,1860
"TAF1L",-4.51,1.18,149,736,1530
"ID1",-4.51,0.75,137,813,1560
"NT5DC3",-4.51,0.814,132,827,1560
"ADORA2B",-4.51,0.802,146,794,1570
"FAM84B",-4.51,1.81,87,3310,3780
"ZNF34",-4.5,1.14,153,785,1590
"FAT1",-4.5,0.767,137,934,1680
"METTL11A",-4.5,0.88,151,800,1590
"SIRPA",-4.5,0.826,147,788,1570
"PRDM10",-4.5,0.908,146,972,1740
"IL23A",-4.5,0.571,139,992,1730
"OGT",-4.5,1.28,133,1750,2440
"TBC1D8B",-4.5,1.22,132,1270,1980
"C3orf31",-4.5,0.907,142,802,1570
"NPIPL3",-4.49,1.29,145,893,1660
"ORAI3",-4.49,0.864,145,748,1530
"CHRNA10",-4.49,1.25,165,856,1680
"MARCO",-4.49,1.71,159,875,1680
"LOC728190",-4.49,0.897,144,769,1540
"RASSF6",-4.49,0.631,136,938,1680
"SCYL3",-4.49,1.11,141,790,1550
"SPP1",-4.49,0.634,134,793,1540
"PHF8",-4.49,0.818,143,1040,1790
"C17orf107",-4.48,1.23,145,806,1590
"TRIM56",-4.48,1.16,150,799,1590
"ATG16L2",-4.48,1.25,135,791,1540
"CARD10",-4.48,1.25,145,839,1610
"ZNF548",-4.47,0.896,151,770,1570
"TPPP3",-4.47,1.61,160,871,1680
"LTBP2",-4.47,1.29,136,886,1630
"CDHR3",-4.47,2.14,133,1080,1800
"POSTN",-4.47,0.731,137,770,1530
"USPL1",-4.47,1.1,143,835,1610
"RTEL1",-4.47,1.18,154,736,1550
"CCDC42B",-4.47,2.13,144,848,1620
"C19orf61",-4.46,0.889,146,794,1580
"PHAX",-4.46,1.08,148,802,1590
"C18orf45",-4.46,1.17,151,813,1610
"TBC1D3",-4.46,1.2,161,899,1710
"GTF2I",-4.46,0.892,149,816,1610
"KCNAB2",-4.46,1.22,156,804,1610
"PHACTR1",-4.46,1.44,152,859,1650
"RWDD2A",-4.46,1.2,141,948,1700
"FAM113A",-4.46,0.87,148,785,1580
"LSAMP",-4.45,0.711,161,688,1520
"ISM1",-4.44,1.36,154,818,1620
"ENO1",-4.44,0.867,155,776,1590
"RPP30",-4.44,0.909,136,771,1530
"ENTPD1",-4.44,1.14,156,803,1610
"RGS19",-4.44,1.14,145,829,1610
"DHRS1",-4.44,1.16,143,862,1630
"ZNF664",-4.44,1.12,151,773,1570
"C1QB",-4.44,1.33,153,811,1610
"COBRA1",-4.44,0.915,138,771,1540
"PPAP2C",-4.44,1.21,140,760,1530
"CD6",-4.44,1.28,150,879,1670
"BBOX1",-4.44,0.396,141,1690,2400
"WIPF2",-4.44,1.13,143,1110,1870
"RAB18",-4.44,0.883,149,722,1520
"PLA2G5",-4.44,1.29,132,776,1520
"CST7",-4.43,1.36,152,839,1640
"GRK4",-4.43,0.882,155,814,1620
"RSPH4A",-4.43,1.93,144,866,1640
"DRAP1",-4.43,0.876,141,797,1570
"RAD54L2",-4.43,0.855,131,743,1490
"SPATA5",-4.43,0.855,125,1170,1860
"CRBN",-4.43,1.18,140,958,1710
"XRRA1",-4.42,1.17,135,1300,2030
"FGFR1OP2",-4.42,0.861,142,1050,1800
"HMGA2",-4.42,0.521,129,1190,1890
"PSMC1",-4.42,0.85,128,1450,2150
"LILRB5",-4.42,1.39,142,822,1590
"LOC100190938",-4.42,0.633,153,1020,1800
"LAPTM4A",-4.42,1.1,142,761,1540
"UCKL1",-4.42,0.883,152,903,1690
"DCTD",-4.42,1.1,149,860,1650
"ZNF431",-4.42,1.18,150,745,1550
"DUOXA1",-4.42,0.753,155,865,1670
"TMEM14C",-4.42,1.18,161,905,1720
"ZNF513",-4.41,0.888,148,776,1570
"CAND1",-4.41,0.771,123,1860,2500
"SOCS5",-4.41,0.906,141,834,1610
"CD180",-4.41,1.3,129,873,1600
"SLC5A9",-4.41,2.05,144,947,1710
"GRAP2",-4.41,1.29,143,841,1620
"NFKBIE",-4.41,1.18,133,841,1580
"MRPL22",-4.41,1.15,147,809,1590
"SERPINH1",-4.41,0.835,147,736,1530
"TMEM150B",-4.41,1.42,141,816,1580
"FCHSD1",-4.41,1.16,147,888,1670
"EFCAB6",-4.4,1.5,150,803,1600
"SYPL2",-4.4,1.69,134,1190,1920
"NOSIP",-4.4,0.867,152,889,1690
"UBLCP1",-4.39,1.11,149,773,1570
"C1QC",-4.39,1.29,150,920,1710
"LARP7",-4.39,1.07,143,782,1560
"GJA5",-4.39,1.37,132,896,1630
"ANGPTL4",-4.39,1.55,166,887,1730
"ACBD3",-4.39,1.11,123,1120,1820
"CINP",-4.39,0.882,149,821,1610
"PLCXD3",-4.39,1.78,139,1020,1770
"BLOC1S1",-4.39,1.17,142,858,1630
"BTG3",-4.39,1.16,142,773,1550
"VBP1",-4.38,0.858,142,1060,1820
"EIF2B3",-4.38,0.903,156,787,1600
"FEZ2",-4.38,1.09,149,796,1590
"CPT1B",-4.38,0.783,139,762,1530
"ANKS1A",-4.38,1.15,138,794,1560
"ROM1",-4.38,1.18,153,857,1660
"NCRNA00107",-4.38,1.32,141,859,1630
"HIST1H2BG",-4.38,0.632,133,979,1710
"CD28",-4.38,1.29,128,822,1550
"CDH26",-4.38,0.643,138,860,1620
"MYOCD",-4.38,1.66,141,986,1740
"ETV7",-4.38,1.28,145,876,1650
"SCAMP3",-4.37,1.1,127,771,1500
"FERMT3",-4.37,1.25,158,881,1690
"ACP1",-4.37,0.905,152,787,1600
"AMPD3",-4.37,1.16,152,829,1640
"NCRNA00094",-4.37,1.11,150,856,1650
"LOC729176",-4.37,0.783,134,1320,2030
"RPLP1",-4.37,0.771,126,2010,2670
"IPO5",-4.36,0.882,157,885,1700
"AMBRA1",-4.36,1.1,147,1040,1820
"LAMC1",-4.36,0.856,158,934,1750
"PAPD5",-4.36,1.11,143,829,1610
"C4orf38",-4.36,1.29,158,873,1700
"ZNF347",-4.36,1.18,141,812,1580
"CMPK2",-4.35,1.28,157,928,1730
"MEA1",-4.35,0.88,151,856,1650
"FCHSD2",-4.35,1.12,138,874,1630
"EFTUD1",-4.35,0.908,155,802,1620
"GIPC3",-4.35,1.29,149,900,1690
"HMG20A",-4.35,0.931,151,782,1590
"SETD2",-4.35,1.08,146,791,1580
"CA5BP",-4.34,0.88,138,815,1580
"TMBIM1",-4.34,0.867,141,849,1630
"SPATA18",-4.34,1.55,146,844,1630
"SPTBN2",-4.34,0.794,153,1030,1820
"CDKAL1",-4.34,0.697,169,753,1620
"FBXW8",-4.34,0.909,147,794,1590
"NLRP3",-4.34,1.38,138,939,1690
"CLN5",-4.33,1.15,153,910,1710
"NOVA2",-4.33,1.38,144,867,1640
"TP53",-4.33,0.834,159,822,1650
"GAR1",-4.33,1.11,138,868,1630
"ERAP2",-4.33,1.34,153,821,1640
"SCLY",-4.33,0.884,147,727,1530
"GPR84",-4.33,1.34,160,747,1590
"UBQLN2",-4.33,0.91,148,750,1550
"ITSN1",-4.33,1.14,142,870,1650
"OGDHL",-4.33,0.457,143,1100,1860
"ADPRH",-4.32,1.22,150,812,1610
"FBLN2",-4.32,0.783,152,773,1590
"CHRDL2",-4.32,3.04,161,771,1610
"ANKRD52",-4.32,0.888,157,868,1690
"SAMD14",-4.32,1.29,142,797,1580
"NDUFA4",-4.32,1.19,145,902,1680
"USF1",-4.32,1.12,145,914,1700
"SIGLEC7",-4.32,1.28,133,780,1530
"C11orf74",-4.31,1.16,152,829,1640
"RTN4",-4.31,0.904,133,931,1680
"TMED8",-4.31,1.1,144,893,1670
"PODXL",-4.31,1.29,131,1030,1760
"ARF6",-4.31,0.898,150,827,1640
"ARID5A",-4.31,0.833,142,908,1680
"SRRM5",-4.31,0.81,147,867,1660
"STX17",-4.31,1.09,143,822,1610
"OSR2",-4.31,0.733,149,869,1670
"CATSPER2P1",-4.31,0.851,142,827,1610
"PRKACB",-4.31,1.25,145,914,1700
"ZNHIT1",-4.31,1.22,135,1070,1810
"MED8",-4.31,1.1,148,801,1600
"FNBP1",-4.3,1.16,144,911,1690
"IKZF3",-4.3,1.33,154,879,1690
"ZNF283",-4.3,1.15,152,777,1590
"TLK2",-4.3,0.929,153,787,1600
"ZNRF3",-4.29,0.843,156,884,1700
"FBXO31",-4.28,0.92,155,854,1670
"ATP11C",-4.28,0.843,151,764,1580
"MTHFS",-4.28,1.15,153,806,1620
"SNRNP25",-4.28,0.86,141,790,1570
"LOC100270710",-4.28,0.847,131,887,1630
"SOX9",-4.27,0.722,153,813,1630
"DFFA",-4.27,0.899,146,810,1610
"SPOCK1",-4.27,0.586,125,1130,1840
"ZBTB41",-4.27,1.13,155,842,1660
"OS9",-4.27,1.15,152,876,1690
"LOC388152",-4.26,1.21,155,755,1590
"AKAP7",-4.26,0.826,155,756,1580
"PTPRB",-4.26,1.55,147,896,1680
"RRAD",-4.26,1.64,148,1030,1820
"GPN3",-4.26,0.891,165,823,1670
"C12orf26",-4.26,1.12,161,810,1650
"MMACHC",-4.26,0.851,153,755,1590
"LOC723972",-4.26,1.23,156,781,1610
"PHKA1",-4.25,1.17,155,817,1640
"NHLRC1",-4.25,0.811,152,770,1590
"LOC221442",-4.25,0.713,131,890,1640
"GIYD2",-4.25,1.16,160,848,1680
"ADAT2",-4.25,0.847,147,883,1680
"LYRM7",-4.24,0.896,155,793,1620
"KDM5B",-4.24,0.884,140,819,1600
"COL10A1",-4.24,1.45,146,822,1630
"PANK4",-4.24,0.904,154,878,1700
"ARHGAP31",-4.24,1.34,149,843,1650
"UBE2Q2P1",-4.24,1.26,138,749,1530
"THYN1",-4.24,1.18,136,1250,2000
"EFNB2",-4.24,0.814,163,805,1650
"C11orf67",-4.23,1.2,123,1210,1910
"EPM2AIP1",-4.23,1.11,141,853,1640
"LIF",-4.23,1.55,132,1130,1860
"SEC14L4",-4.23,1.39,142,741,1530
"TMEM99",-4.23,0.831,137,866,1630
"KIAA1274",-4.23,1.27,147,904,1700
"CCDC113",-4.23,1.32,143,844,1630
"C17orf56",-4.22,0.871,149,800,1610
"HIF3A",-4.22,1.64,159,869,1700
"TTF1",-4.22,0.91,121,775,1490
"DHRS3",-4.22,0.812,149,783,1600
"PDE6G",-4.22,1.4,153,818,1640
"IGLON5",-4.22,0.449,157,1300,2100
"SNX22",-4.22,1.23,118,990,1680
"PCDHB10",-4.22,0.778,156,808,1640
"MEOX1",-4.22,0.466,140,1370,2120
"MRAS",-4.22,1.2,146,878,1670
"CD53",-4.22,1.24,142,829,1620
"C1orf93",-4.21,1.21,157,961,1780
"C6orf125",-4.21,1.18,146,806,1610
"TSC22D2",-4.21,0.823,142,1080,1850
"RCAN1",-4.21,0.779,158,862,1690
"LMBR1",-4.21,0.901,161,805,1650
"PCDH12",-4.21,1.4,136,1070,1820
"SCN3B",-4.21,0.566,162,739,1600
"FAT4",-4.21,1.4,147,1110,1890
"ZNF124",-4.21,1.15,160,805,1650
"BAT2L2",-4.2,0.896,143,772,1570
"RAB6C",-4.2,0.871,136,834,1610
"ALS2",-4.2,0.901,150,797,1620
"SP140L",-4.2,1.14,157,858,1690
"MAN1C1",-4.2,1.27,138,1020,1790
"ING1",-4.2,1.15,154,814,1640
"UBE2R2",-4.2,0.899,157,766,1610
"FAM179A",-4.19,1.89,138,922,1690
"DYDC2",-4.19,1.76,159,922,1750
"ACE2",-4.19,1.8,154,803,1640
"SERHL",-4.19,0.866,157,776,1620
"LAPTM4B",-4.19,1.22,164,807,1670
"APOBEC3G",-4.19,0.81,152,847,1670
"GIMAP5",-4.19,1.32,158,847,1680
"ARPP19",-4.19,0.917,153,752,1580
"PCDHA6",-4.19,1.77,152,909,1720
"PCMTD2",-4.19,1.12,170,828,1690
"KBTBD10",-4.19,2.03,147,1220,1990
"PCSK1",-4.19,7.24,162,857,1750
"SALL4",-4.18,0.679,157,815,1650
"LGALS9",-4.18,1.24,157,901,1730
"DPEP2",-4.18,1.41,168,859,1720
"C16orf45",-4.18,1.34,148,964,1760
"KIAA1383",-4.18,1.23,149,768,1590
"POM121L9P",-4.18,1.33,151,815,1640
"FBXO42",-4.18,0.926,155,779,1620
"MCTP1",-4.18,1.26,157,831,1670
"C10orf79",-4.18,2.08,139,929,1700
"LOC284837",-4.17,0.745,161,740,1600
"CRAMP1L",-4.17,0.896,161,781,1630
"PAN2",-4.17,0.873,149,781,1600
"TOMM20",-4.17,0.886,163,827,1680
"PPP2CB",-4.17,1.12,152,811,1630
"GPA33",-4.17,2.4,159,997,1820
"COL9A3",-4.17,0.295,137,1930,2650
"PURA",-4.17,1.1,152,780,1610
"IDH2",-4.17,0.836,155,973,1790
"NPTN",-4.16,0.909,149,853,1670
"C11orf80",-4.16,1.17,162,822,1680
"WNT4",-4.16,0.65,155,961,1790
"EPHX3",-4.16,1.43,136,984,1740
"EML5",-4.16,0.743,148,799,1620
"NOTCH2NL",-4.16,1.19,160,840,1680
"SAP30",-4.16,0.863,161,852,1700
"MYCT1",-4.16,1.4,158,958,1790
"MTM1",-4.16,1.12,150,854,1670
"TTC17",-4.16,1.09,156,798,1630
"GPR125",-4.16,0.862,153,784,1610
"CYR61",-4.16,1.35,159,865,1700
"THBS3",-4.16,1.15,136,795,1570
"IRF8",-4.16,1.33,151,1160,1960
"ASPH",-4.15,1.31,146,764,1580
"PIK3C2A",-4.15,1.1,157,824,1660
"HUNK",-4.15,1.46,140,918,1700
"LMF2",-4.15,0.892,164,822,1680
"PECAM1",-4.15,1.35,164,898,1750
"VWA3B",-4.15,2.27,149,1010,1800
"ZNF524",-4.15,1.28,117,2580,3210
"HSP90AB2P",-4.15,1.22,148,825,1640
"PKIA",-4.15,0.715,153,955,1770
"IPMK",-4.15,0.851,169,900,1770
"SNTN",-4.15,2.04,151,893,1710
"NEU3",-4.15,0.862,149,781,1600
"NR2F2",-4.15,1.2,150,901,1720
"LYST",-4.14,1.21,153,1290,2080
"ZNF24",-4.14,1.13,152,772,1600
"GULP1",-4.14,1.38,143,1000,1790
"MLLT10",-4.14,0.909,153,758,1600
"ELTD1",-4.14,1.3,156,1130,1940
"P4HA3",-4.14,1.35,166,863,1730
"CTF1",-4.14,1.23,158,874,1710
"SFRS8",-4.14,0.913,151,819,1640
"PTPN21",-4.14,1.38,152,840,1660
"EIF2C1",-4.14,0.896,149,830,1650
"TRIM2",-4.14,1.22,163,778,1640
"SNX9",-4.13,1.11,163,782,1650
"LOC401588",-4.13,0.83,150,848,1670
"TRAF2",-4.13,1.17,161,829,1690
"ASH1L",-4.13,1.12,166,814,1680
"MTMR4",-4.13,0.893,148,806,1630
"MRPS16",-4.13,0.895,144,805,1610
"PTK2B",-4.13,0.856,174,782,1680
"LOX",-4.13,0.751,155,846,1680
"SEMA3A",-4.13,1.57,145,812,1630
"MYO9A",-4.13,1.17,154,830,1670
"CD59",-4.12,1.17,144,843,1650
"TMED3",-4.12,1.17,160,745,1610
"B3GALT2",-4.11,2.08,159,1160,1980
"FDPS",-4.11,0.876,142,772,1570
"KIAA1797",-4.11,1.13,153,802,1640
"LSM2",-4.1,0.838,148,843,1660
"ZDHHC4",-4.1,1.11,145,771,1580
"TYMP",-4.1,0.816,151,764,1600
"HSP90AB1",-4.1,0.893,154,814,1650
"AMN1",-4.1,0.847,147,946,1750
"CD160",-4.1,1.31,156,875,1710
"C4orf19",-4.1,1.4,152,873,1700
"TGFA",-4.1,0.762,147,852,1660
"MKNK2",-4.1,0.874,159,724,1590
"NME1",-4.1,0.831,169,809,1680
"C9orf109",-4.1,1.27,170,850,1730
"CPNE3",-4.1,0.897,158,824,1670
"PDIA3P",-4.09,1.14,170,840,1730
"INTS10",-4.09,0.898,160,786,1640
"IL17D",-4.09,1.33,155,786,1630
"TRUB2",-4.09,0.885,162,825,1680
"CLEC14A",-4.09,1.39,158,917,1750
"PLCD1",-4.09,0.758,158,666,1530
"FAM70B",-4.09,1.33,143,931,1730
"ZAK",-4.09,0.87,174,886,1770
"CAMK4",-4.09,0.764,175,801,1690
"TRUB1",-4.09,0.877,152,909,1730
"ECM1",-4.09,1.54,177,771,1690
"TAF1",-4.09,0.907,157,779,1630
"G0S2",-4.09,1.59,148,918,1730
"LCP2",-4.09,1.2,163,791,1660
"NDUFA12",-4.09,0.898,167,793,1670
"RAB8B",-4.09,1.16,161,827,1680
"FBXO34",-4.08,1.11,161,832,1690
"C17orf80",-4.08,0.902,165,814,1680
"CRTAC1",-4.08,1.65,157,836,1680
"AHNAK",-4.08,0.796,162,809,1670
"PSMD1",-4.08,0.905,143,1060,1840
"GPR77",-4.08,2.29,102,3400,3940
"LOC441869",-4.08,1.27,148,873,1690
"VEGFA",-4.08,1.21,159,873,1730
"SETD1A",-4.08,0.906,164,808,1670
"CCDC151",-4.07,1.7,177,919,1810
"C19orf20",-4.07,1.2,167,872,1740
"TUBG2",-4.07,0.884,179,827,1730
"NOL6",-4.07,0.855,165,790,1670
"HCG11",-4.07,1.15,144,796,1610
"EXTL2",-4.07,0.868,152,840,1670
"POLR2F",-4.07,0.772,119,2710,3350
"?",-4.07,0.894,151,786,1620
"NCDN",-4.06,1.11,155,776,1630
"LILRB3",-4.06,1.28,158,782,1630
"ZBTB16",-4.06,1.87,160,1040,1880
"SLC25A27",-4.06,1.32,166,826,1700
"C19orf44",-4.06,1.13,149,760,1590
"C1orf220",-4.06,0.754,169,806,1700
"DCAF11",-4.06,1.08,161,859,1720
"KIAA0406",-4.05,0.903,154,785,1630
"MAP6",-4.05,1.4,173,884,1770
"RAD1",-4.05,0.886,146,780,1600
"B4GALT1",-4.05,1.16,162,854,1710
"RBM8A",-4.05,0.913,153,863,1700
"AXL",-4.05,1.23,140,818,1610
"SLBP",-4.05,0.889,157,830,1680
"ELF5",-4.05,1.5,171,727,1620
"INHBA",-4.05,0.709,166,740,1620
"ZSCAN18",-4.05,1.18,167,815,1690
"TSG101",-4.04,1.09,161,810,1670
"ABCA1",-4.04,0.846,158,840,1690
"ALG6",-4.04,0.895,158,807,1660
"URGCP",-4.04,1.11,169,857,1740
"STX4",-4.04,1.1,157,777,1630
"HACL1",-4.04,0.898,164,805,1680
"DNAH3",-4.04,1.71,174,963,1850
"FAM175A",-4.04,1.16,157,854,1700
"MED4",-4.04,0.921,167,788,1670
"TMEM108",-4.04,1.5,146,1040,1830
"NCRNA00086",-4.03,1.49,160,1010,1850
"DTX3",-4.03,0.863,157,852,1700
"FAM158A",-4.03,0.851,153,819,1660
"PDGFC",-4.03,1.25,143,1160,1950
"VSIG4",-4.03,1.46,149,851,1680
"SLC15A3",-4.03,1.23,170,798,1680
"STARD8",-4.03,1.39,139,914,1700
"RPL24",-4.03,0.835,151,859,1690
"NACA",-4.03,0.908,168,889,1770
"RNF157",-4.03,1.51,163,934,1780
"CLPTM1",-4.03,0.901,166,829,1710
"LOC619207",-4.03,1.38,143,851,1660
"GPR172A",-4.03,1.15,143,802,1610
"C19orf24",-4.02,0.883,155,817,1670
"FLI1",-4.02,1.27,149,859,1680
"VAPB",-4.02,0.901,142,967,1760
"IGFBPL1",-4.02,1.63,153,992,1820
"UBE2E1",-4.02,1.11,147,809,1630
"SRC",-4.02,0.888,168,844,1730
"RAB11A",-4.02,0.909,163,790,1660
"CCDC7",-4.02,1.11,157,776,1630
"C19orf6",-4.02,0.9,152,765,1610
"SIPA1L3",-4.02,0.861,173,783,1690
"CLIC1",-4.02,1.13,158,811,1670
"SERINC5",-4.02,0.848,166,791,1680
"MRPL39",-4.02,0.874,165,852,1730
"MYH3",-4.02,0.718,158,1150,1990
"EFHC1",-4.02,1.23,148,854,1680
"YJEFN3",-4.02,0.673,145,1420,2200
"MDC1",-4.01,0.882,164,852,1720
"NTNG2",-4.01,1.97,169,565,1480
"POLR2J2",-4.01,0.783,169,790,1680
"SUSD5",-4.01,1.74,155,1100,1920
"C14orf126",-4.01,0.867,150,823,1660
"ATP7B",-4.01,1.59,133,1470,2210
"KSR1",-4.01,1.23,173,803,1710
"ANKRD26",-4.01,0.875,164,861,1730
"CYB5R4",-4.01,0.87,171,825,1720
"POLR2C",-4.01,1.12,163,795,1670
"MLH1",-4,1.08,168,908,1790
"UBB",-4,1.11,160,813,1680
"IRX6",-4,0.607,146,989,1790
"LOC338799",-4,0.807,160,794,1670
"TXNL4A",-4,0.891,167,797,1680
"ITGA2",-4,0.778,156,850,1700
"CCDC3",-4,0.624,140,2190,2920
"MYOZ3",-4,1.37,151,872,1700
"SHKBP1",-3.99,0.874,164,878,1750
"SH3GLB2",-3.99,1.12,169,896,1780
"IQUB",-3.99,1.62,156,910,1750
"FER1L4",-3.99,1.72,135,1170,1930
"ZEB2",-3.99,1.23,158,825,1680
"PAIP2B",-3.99,1.2,164,776,1650
"CTXN1",-3.98,1.36,147,877,1700
"EPHA4",-3.98,0.805,163,835,1710
"TNNI3K",-3.98,1.55,159,1280,2110
"ZNF138",-3.98,1.16,135,807,1590
"CEP170",-3.98,1.12,167,760,1650
"PRR16",-3.97,0.782,136,884,1670
"GPR64",-3.97,1.87,155,1320,2130
"CISD2",-3.97,1.12,156,916,1770
"ZFAND3",-3.97,1.07,159,778,1650
"C19orf38",-3.97,1.29,164,862,1740
"ZNF366",-3.97,1.38,148,870,1690
"C13orf30",-3.97,2.07,148,856,1680
"TNFSF11",-3.97,1.75,162,713,1610
"ZNF323",-3.96,1.35,162,1010,1880
"FBXO2",-3.96,1.45,172,861,1760
"PCP4L1",-3.96,1.57,145,834,1650
"C3orf14",-3.96,1.24,179,867,1790
"IMPDH1",-3.96,0.861,170,874,1770
"FAM185A",-3.96,1.11,172,773,1680
"EFNA4",-3.96,1.18,154,790,1640
"MRVI1",-3.96,1.22,144,812,1630
"FLJ45340",-3.96,1.17,170,831,1730
"SESN2",-3.96,1.14,151,790,1630
"PIN4",-3.96,1.12,166,841,1730
"ANKRA2",-3.96,1.11,160,750,1620
"FAM122B",-3.95,0.883,178,887,1800
"CD248",-3.95,0.8,151,769,1620
"ULK3",-3.95,0.894,163,864,1740
"MAN2A1",-3.95,1.18,171,802,1710
"SGEF",-3.95,0.744,157,804,1660
"IFFO1",-3.95,1.21,147,844,1670
"STXBP3",-3.95,1.08,152,821,1670
"IGHMBP2",-3.95,0.837,168,637,1550
"SLC22A4",-3.95,1.45,143,827,1640
"RASSF2",-3.94,1.27,173,895,1790
"INTS8",-3.94,0.888,153,823,1670
"RSAD1",-3.94,1.1,145,856,1680
"ELOVL7",-3.94,1.28,164,1240,2090
"GALNT13",-3.94,0.604,160,840,1710
"ACTG1",-3.94,0.911,129,799,1560
"UBE2Q1",-3.94,1.09,164,879,1760
"PCGF1",-3.94,0.905,157,845,1700
"PLA2G4E",-3.94,0.498,171,955,1840
"COMT",-3.94,0.875,147,864,1690
"FGF2",-3.93,0.693,159,955,1810
"MARCH1",-3.93,1.22,157,837,1700
"VPS18",-3.93,1.11,157,740,1610
"TRPV2",-3.93,1.29,162,813,1690
"USHBP1",-3.93,1.47,162,898,1760
"TUBA4A",-3.93,0.824,158,812,1680
"SCO2",-3.93,0.87,158,767,1630
"ATP5SL",-3.93,0.912,149,785,1620
"DBT",-3.93,0.913,180,812,1740
"MIAT",-3.93,0.538,150,1160,1980
"NUDT17",-3.92,1.19,170,1010,1900
"LRRC46",-3.92,1.86,159,920,1770
"SAMSN1",-3.92,1.26,165,814,1700
"CECR7",-3.92,0.651,172,731,1650
"C7orf47",-3.92,1.18,143,804,1630
"ICOSLG",-3.92,0.79,166,648,1560
"MMP1",-3.92,0.436,158,1510,2320
"VWDE",-3.92,0.582,158,1280,2120
"ACACB",-3.92,1.26,149,837,1670
"CD52",-3.91,1.47,153,907,1750
"CD300C",-3.91,1.36,166,848,1730
"TBCE",-3.91,0.884,150,839,1680
"TRAPPC3",-3.91,1.1,157,774,1640
"PTPN11",-3.91,0.906,173,817,1730
